mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
tess,1134.01,122220263,FP,18.6922101,2460333.437983,7.765,11126.0,18.1458,1141.0,6277.0,4.09,1.65,,0
tess,1135.01,154872375,CP,8.0277326,2460658.97426,4.284,5705.0,9.06883,1106.0,5962.7,4.38,1.15,,1
tess,1136.01,142276270,CP,12.5187279,2459612.447691,5.38,2320.0,5.58857,1393.0,5729.0,4.47,0.98,,1
tess,1136.02,142276270,CP,6.2586065,2460366.026514,3.201,813.0,2.51593,1087.0,5729.0,4.47,0.98,,1
tess,1136.03,142276270,CP,26.3208756,2459594.183463,4.414,800.0,2.71349,631.0,5729.0,4.47,0.98,,1
tess,1136.04,142276270,CP,18.795547,2458697.755807,4.3425576,470.6731965,2.1597669,672.9826313,5729.0,4.47,0.977727,,1
tess,1137.01,89389197,PC,1.3206356,2459770.240602,1.6000996,1052.4255997,34.7561624,1982.7142102,4919.6,,6.3070302,,1
tess,1138.01,110428269,FP,0.64971,2458684.20504,2.076,620.0,6.23181,4731.0,9994.0,4.02,2.59,,0
tess,1079.01,379240073,PC,3.1644075,2458656.380357,2.0576293,5603.4635466,14.8814743,1747.9490013,6519.0,4.22068,1.7234,,1
tess,108.01,289793076,KP,3.0440541,2458328.08383,2.5984575,22236.0165376,12.1086799,1075.3184542,5523.0,4.52192,0.809868,,1
tess,1080.01,161032923,PC,3.9652485,2458654.060577,1.0112593,3680.7544436,1.2305102,386.6684768,3296.0,4.96636,0.199988,,1
tess,1081.01,253728991,PC,2.98278,2458654.026119,3.109528,6136.231662,11.467011,,6027.0,4.29978,1.23975,,1
tess,1082.01,261108236,PC,16.3469053,2458626.085696,3.5865698,2212.4257252,3.5059571,441.7489067,4310.0,4.57345,0.649613,,1
tess,1083.01,322270620,PC,12.9802953,2458627.915974,2.5034417,2407.2608671,2.4241912,376.2093904,3614.0,4.81257,0.491323,,1
tess,1084.01,380589029,KP,1.3484961,2458653.973305,2.4074261,18463.7636682,15.8824638,1839.6713042,6346.0,4.38484,1.14759,,1
tess,1085.01,381979901,APC,3.2541181,2460041.175097,4.341,13620.0,14.9476,,6102.0,4.28649,1.28,,0
tess,1086.01,468148930,PC,3.7178828,2458655.291499,5.5277827,4864.8405125,14.6986197,1689.4116185,5818.0,4.33787,2.0840001,,1
tess,1087.01,426077080,FP,9.30992,2458630.77194,3.464,2220.0,14.2968,1067.0,6907.0,3.63,3.09,,0
tess,1088.01,343648136,FA,1.15395,2458626.38955,2.236,1550.0,5.48364,2148.0,6093.0,4.2,1.4,,0
tess,1089.01,129319156,FP,4.73703,2458643.10264,3.902,2410.0,25.7144,4243.0,11600.0,4.13,2.48,,0
tess,109.01,29344935,KP,2.76676,2458326.127479,2.6872178,14947.4387827,12.2867389,1209.5741229,5346.0,4.48823,0.984866,,1
tess,1090.01,361034196,FP,2.19296,2458628.96316,4.586,4933.74,22.7769,3722.0,7009.8,3.6,2.95,,0
tess,1091.01,193413306,PC,1.725841,2459359.55521,3.674,2710.0,15.0024,4175.0,7348.0,3.9,2.39,,1
tess,1092.01,387079085,FP,1.1923,2458601.38096,3.119,3730.0,30.666,3958.0,6534.0,3.95,2.04,,0
tess,1093.01,382331352,FP,11.47606,2458601.33791,6.083,3050.0,,,,,,,0
tess,1094.01,136274063,APC,0.5971314,2459360.160536,0.468,910.0,9.08382,1760.0,7710.0,3.98,2.28,,0
