mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
kepler,K03657.01,4579321,FALSE POSITIVE,2.112395777,2454967.034448,2.7714,262602.0,115.26,1419.0,5780.0,4.438,1.0,1.0,0.0
kepler,K01932.02,5202905,CONFIRMED,14.8444836,2454976.576,6.091,177.9,2.49,1092.0,6642.0,4.057,1.846,1.421,1.0
kepler,K03658.01,1575690,FALSE POSITIVE,2.252417903,2454965.436339,1.9767,32296.0,27.09,782.0,3979.0,4.699,0.544,0.539,0.0
kepler,K03659.01,4386047,FALSE POSITIVE,2.900613144,2454966.422871,3.7357,165475.0,38.63,1289.0,5977.0,4.472,0.931,0.94,0.0
kepler,K03660.01,5103998,FALSE POSITIVE,174.7697122,2455005.472322,2.3569,68139.0,38.79,294.0,5704.0,4.575,0.804,0.897,0.0
kepler,K03733.01,9655858,FALSE POSITIVE,31.43284649,2454971.11259,5.3541,178874.0,57.21,577.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03734.01,10275880,FALSE POSITIVE,9.72675447,2454972.47635,19.6214,6641.6,995.22,1363.0,6327.0,3.84,2.433,1.495,0.0
kepler,K03735.01,2166200,FALSE POSITIVE,8.096939227,2454965.646466,2.8833,142891.0,68.48,1194.0,6572.0,4.208,1.418,1.19,0.0
kepler,K03736.01,3547315,FALSE POSITIVE,0.64234865,2454964.911078,2.1184,39597.0,25.76,1829.0,5441.0,4.553,0.791,0.814,0.0
kepler,K03737.01,6933781,FALSE POSITIVE,130.4194187,2455062.758424,4.165,2290.9,57.51,473.0,5770.0,3.946,1.685,0.915,0.0
kepler,K03812.01,6148271,FALSE POSITIVE,1.78526527,2454966.1265,6.2233,1733.1,41.19,1815.0,6505.0,4.342,1.228,1.211,0.0
kepler,K03813.01,5386904,FALSE POSITIVE,4.8591441,2454965.6666,3.8588,2183.6,6.9,1303.0,6586.0,4.361,1.207,1.226,0.0
kepler,K03814.01,2997178,FALSE POSITIVE,5.95077813,2454968.06469,5.6,761.8,32.26,2366.0,5122.0,2.886,9.828,2.707,0.0
kepler,K02048.02,8956206,FALSE POSITIVE,99.673478,2455052.33483,0.968,2496.0,576.14,262.0,4932.0,4.777,0.492,0.528,0.0
kepler,K03888.01,8260198,FALSE POSITIVE,0.955297055,2454965.179352,1.7405,846.1,18.16,1550.0,5319.0,4.548,0.734,0.694,0.0
kepler,K03889.01,10733174,FALSE POSITIVE,280.476576,2455132.3871,32.24,651.2,3.16,268.0,5869.0,4.528,0.892,0.98,0.0
kepler,K03890.01,8564976,FALSE POSITIVE,152.8255989,2455030.41339,22.688,2173.5,34.85,734.0,4991.0,2.933,7.506,1.761,0.0
kepler,K03892.01,11760860,CONFIRMED,2.41660149,2454964.53713,1.9699,83.6,0.92,1343.0,5705.0,4.444,1.026,1.069,1.0
kepler,K03661.01,7910148,FALSE POSITIVE,4.252082243,2454967.299947,2.7543,8290.5,33.14,1064.0,5802.0,4.492,0.794,0.714,0.0
kepler,K03662.01,12459731,FALSE POSITIVE,14.180228311,2454976.127623,4.5344,172737.0,62.41,873.0,6289.0,4.33,1.142,1.015,0.0
kepler,K03663.01,12735740,CONFIRMED,282.5253558,2455196.071925,10.7965,9746.4,8.98,264.0,5725.0,4.506,0.913,0.974,1.0
kepler,K03664.01,4678875,FALSE POSITIVE,1.87887673,2454966.0741983,6.60887,824392.0,148.25,1846.0,6569.0,4.281,1.235,1.06,0.0
kepler,K03665.01,7812175,FALSE POSITIVE,17.79391159,2454967.035628,4.3194,93395.0,33.3,697.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03666.01,7708193,FALSE POSITIVE,7.942583252,2454967.817062,7.0612,88327.0,219.02,1285.0,5516.0,3.765,2.178,1.007,0.0
kepler,K03738.01,5478083,FALSE POSITIVE,15.85231085,2454975.52451,4.8707,437862.0,679.44,725.0,5780.0,4.438,1.0,1.0,0.0
