kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass
3632089,K03308.02,CONFIRMED,5.32784157,133.55005,4.696,87.2,0.86,1023.0,5638.0,4.391,0.928,0.773
5563300,K03309.01,CANDIDATE,71.05457555,134.734589,1.9162,4853.2,5.91,390.0,5290.0,4.46,0.865,0.788
12253769,K03310.01,CANDIDATE,20.5512722,141.087,4.639,191.2,1.64,607.0,5401.0,4.464,0.918,0.894
12735830,K03311.01,CONFIRMED,31.827649,134.59995,1.639,520.0,4.98,668.0,4774.0,3.838,1.954,0.959
8054719,K04776.01,CANDIDATE,7.5861587,132.7988,4.32,116.8,1.07,928.0,5934.0,4.444,0.871,0.767
6592335,K04777.01,CONFIRMED,0.824000125,131.80421,0.855,183.1,0.42,746.0,3396.0,4.991,0.28,0.28
5651829,K04778.01,FALSE POSITIVE,0.772152075,132.2074,1.78,43.6,4.44,2966.0,5951.0,3.787,2.08,0.967
4762283,K07706.01,CANDIDATE,42.049523793,167.3423568,2.1372,607.9,1.19,303.0,4281.0,4.761,0.48,0.485
9094763,K04779.01,FALSE POSITIVE,1.08469871,131.7376,4.077,124.0,1.11,1757.0,5942.0,4.506,0.938,1.028
3849187,K04780.01,CANDIDATE,6.60180003,137.476,2.624,213.4,1.25,875.0,5591.0,4.559,0.86,0.977
2976017,K04849.01,CANDIDATE,3.19938075,133.01116,1.761,76.1,0.62,1026.0,5483.0,4.632,0.702,0.779
6786224,K04850.01,CANDIDATE,3.04185157,132.50422,1.434,69.0,0.71,1184.0,5802.0,4.537,0.857,0.922
10338279,K03216.01,FALSE POSITIVE,5.660274452,134.46727,0.9077,414.1,11.02,950.0,5615.0,4.478,0.842,0.778
4851239,K04851.01,FALSE POSITIVE,1.23512429,132.00059,4.22,15.2,0.38,1642.0,5798.0,4.507,0.941,1.038
5009688,K07713.01,FALSE POSITIVE,1.381257093,131.84079,1.125,92.3,1.1,1728.0,5861.0,4.385,1.131,1.13
11072016,K04852.01,CANDIDATE,1.89873195,132.09278,1.382,78.0,0.93,1524.0,5942.0,4.439,1.05,1.104
3245969,K01101.02,CANDIDATE,11.39110963,137.69665,2.749,593.4,1.9,632.0,4999.0,4.587,0.76,0.814
10057494,K03234.01,CONFIRMED,2.41810158,132.38894,2.144,46.8,0.85,1602.0,6258.0,4.307,1.239,1.135
7902003,K03236.01,CANDIDATE,7.13044117,135.594,2.566,31.9,1.18,1400.0,6312.0,3.964,2.074,1.443
6587796,K03237.01,CONFIRMED,33.4203001,159.1401,5.307,436.6,2.46,581.0,5731.0,4.372,1.066,0.977
9489953,K03238.01,FALSE POSITIVE,58.3437362,169.90401,22.482,1266.8,93.55,779.0,5896.0,3.65,3.006,1.472
5305240,K03239.01,FALSE POSITIVE,1.070982122,131.98355,1.255,43.4,0.98,2122.0,5717.0,4.109,1.433,0.964
11905409,K03312.01,CANDIDATE,18.0939004,139.01706,3.294,467.3,1.91,665.0,5904.0,4.543,0.867,0.958
9571186,K03313.01,CANDIDATE,34.9524256,163.52048,1.717,677.0,21.74,429.0,4921.0,4.591,0.779,0.864
9838060,K03314.01,FALSE POSITIVE,23.81578356,141.84883,3.7591,4856.7,8.4,560.0,5561.0,4.572,0.818,0.915
8554701,K03315.01,CONFIRMED,31.1748311,159.10049,3.79,200.2,1.31,585.0,6086.0,4.511,0.921,1.003
5389632,K07726.01,FALSE POSITIVE,0.474811162,132.20477,1.169,205.2,1.28,2206.0,5799.0,4.539,0.878,0.975
9031209,K03316.01,CONFIRMED,47.0568476,161.05864,5.2232,1531.2,2.84,411.0,5288.0,4.613,0.74,0.828
5951416,K04781.01,FALSE POSITIVE,367.73299,302.3576,10.158,503.9,2.1,266.0,6225.0,4.481,0.931,0.958
5612697,K03206.01,CANDIDATE,15.1516409,133.9226,5.105,191.5,1.38,736.0,5780.0,4.438,1.0,1.0
8973285,K04782.01,CANDIDATE,7.4213444,137.493,2.361,315.9,1.73,953.0,6032.0,4.485,0.973,1.055
4645833,K04783.01,FALSE POSITIVE,0.743495989,132.18904,2.255,172.8,11.82,1617.0,5345.0,4.639,0.686,0.747
8940918,K04784.01,FALSE POSITIVE,1.405887031,132.01147,1.184,216.0,0.95,1086.0,4440.0,4.618,0.653,0.646
3758922,K04853.01,CANDIDATE,17.7412303,144.3554,4.816,144.7,1.14,684.0,5817.0,4.491,0.956,1.032
8360041,K04854.01,CANDIDATE,2.63527677,133.97919,1.997,70.4,0.76,1136.0,5215.0,4.496,0.864,0.854
9827596,K04855.01,FALSE POSITIVE,1.45728997,131.5882,3.582,71.3,0.93,1665.0,6063.0,4.476,1.012,1.117
9782748,K04856.01,CANDIDATE,147.388124,174.6537,8.781,909.2,3.03,356.0,6046.0,4.478,1.007,1.111
2860656,K04857.01,CANDIDATE,4.11497357,135.318,3.025,154.1,1.17,1137.0,6011.0,4.507,0.927,1.006
6206559,K03240.01,FALSE POSITIVE,1.245331397,132.22902,2.566,38.1,1.61,2678.0,6106.0,3.781,2.477,1.352
5024429,K07714.01,FALSE POSITIVE,1.52593737,132.6849,1.958,159.1,1.39,1697.0,6184.0,4.448,1.038,1.1
9532117,K03241.01,FALSE POSITIVE,8.21429932,135.00609,3.099,70.7,1.66,1312.0,6277.0,3.951,1.869,1.138
